Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Less than 9th grade Estimate , Less than 9th grade Margin of error (MOE) , Less than 9th grade Percent of total , Less than 9th grade Percent of total margin of error (MOE) ," 9th to 12 Grade, no diploma Estimate "," 9th to 12 Grade, no diploma Margin of error (MOE) "," 9th to 12 Grade, no diploma Percent of total "," 9th to 12 Grade, no diploma Percent of total margin of error (MOE) ", High school graduate Estimate , High school graduate Margin of error (MOE) , High school graduate Percent of total , High school graduate Percent of total margin of error (MOE) ," Some college, no degree Estimate "," Some college, no degree Margin of error (MOE) "," Some college, no degree Percent of total "," Some college, no degree Percent of total margin of error (MOE) ", Associate's degree Estimate , Associate's degree Margin of error (MOE) , Associate's degree Percent of total , Associate's degree Percent of total margin of error (MOE) , Bachelor's degree Estimate , Bachelor's degree Margin of error (MOE) , Bachelor's degree Percent of total , Bachelor's degree Percent of total margin of error (MOE) , Graduate degree Estimate , Graduate degree Margin of error (MOE) , Graduate degree Percent of total , Graduate degree Percent of total margin of error (MOE) , High school or more Estimate , High school or more Margin of error (MOE) , High school or more Percent of total , High school or more Percent of total margin of error (MOE) , Bachelor's degree or more Estimate , Bachelor's degree or more Margin of error (MOE) , Bachelor's degree or more Percent of total , Bachelor's degree or more Percent of total margin of error (MOE) ,
11,AZ,Arizona,3," 500,787 "," 12,277 "," 30,121 "," 3,164 ", 6.0 , 0.6 ," 57,088 "," 4,619 ", 11.4 , 0.9 ," 148,104 "," 6,828 ", 29.6 , 1.1 ," 141,914 "," 7,035 ", 28.3 , 1.2 ," 45,173 "," 4,012 ", 9.0 , 0.8 ," 53,824 "," 4,687 ", 10.7 , 0.9 ," 24,563 "," 2,345 ", 4.9 , 0.5 ," 413,578 "," 11,221 ", 82.6 , 1.1 ," 78,387 "," 5,127 ", 15.7 , 1.0 ,
12,AZ,Arizona,4," 633,528 "," 10,386 "," 17,595 "," 2,673 ", 2.8 , 0.4 ," 52,748 "," 4,620 ", 8.3 , 0.7 ," 192,527 "," 8,294 ", 30.4 , 1.1 ," 192,003 "," 7,582 ", 30.3 , 1.1 ," 59,051 "," 3,879 ", 9.3 , 0.6 ," 77,875 "," 4,756 ", 12.3 , 0.8 ," 41,729 "," 4,298 ", 6.6 , 0.7 ," 563,185 "," 10,488 ", 88.9 , 0.8 ," 119,604 "," 6,482 ", 18.9 , 1.0 ,
13,AZ,Arizona,5," 587,681 "," 10,348 "," 8,798 "," 1,427 ", 1.5 , 0.2 ," 27,681 "," 3,001 ", 4.7 , 0.5 ," 128,346 "," 6,227 ", 21.8 , 0.9 ," 160,076 "," 6,319 ", 27.2 , 0.9 ," 53,374 "," 3,385 ", 9.1 , 0.6 ," 138,201 "," 5,073 ", 23.5 , 0.8 ," 71,205 "," 4,129 ", 12.1 , 0.7 ," 551,202 "," 10,190 ", 93.8 , 0.6 ," 209,406 "," 7,006 ", 35.6 , 1.1 ,
14,AZ,Arizona,6," 577,899 "," 11,084 "," 8,834 "," 2,083 ", 1.5 , 0.4 ," 25,687 "," 3,262 ", 4.4 , 0.6 ," 107,601 "," 6,297 ", 18.6 , 1.0 ," 139,842 "," 6,539 ", 24.2 , 1.0 ," 47,995 "," 4,750 ", 8.3 , 0.8 ," 158,055 "," 6,563 ", 27.3 , 1.0 ," 89,885 "," 5,570 ", 15.6 , 1.0 ," 543,378 "," 10,780 ", 94.0 , 0.6 ," 247,940 "," 7,979 ", 42.9 , 1.2 ,
15,AZ,Arizona,7," 454,957 "," 12,175 "," 34,537 "," 3,445 ", 7.6 , 0.7 ," 53,791 "," 5,031 ", 11.8 , 1.1 ," 140,351 "," 8,124 ", 30.8 , 1.6 ," 117,031 "," 7,125 ", 25.7 , 1.3 ," 34,665 "," 3,157 ", 7.6 , 0.7 ," 50,781 "," 5,076 ", 11.2 , 1.1 ," 23,801 "," 2,267 ", 5.2 , 0.5 ," 366,629 "," 11,283 ", 80.6 , 1.3 ," 74,582 "," 5,464 ", 16.4 , 1.1 ,
16,AZ,Arizona,8," 599,423 "," 9,645 "," 13,530 "," 2,168 ", 2.3 , 0.4 ," 31,603 "," 3,488 ", 5.3 , 0.6 ," 155,411 "," 6,641 ", 25.9 , 1.0 ," 167,411 "," 6,664 ", 27.9 , 1.1 ," 56,366 "," 3,794 ", 9.4 , 0.6 ," 111,662 "," 5,550 ", 18.6 , 0.9 ," 63,440 "," 5,056 ", 10.6 , 0.8 ," 554,290 "," 9,874 ", 92.5 , 0.7 ," 175,102 "," 7,454 ", 29.2 , 1.1 ,
17,AZ,Arizona,9," 562,791 "," 12,216 "," 11,269 "," 2,238 ", 2.0 , 0.4 ," 26,068 "," 3,510 ", 4.6 , 0.6 ," 109,598 "," 7,023 ", 19.5 , 1.1 ," 155,775 "," 6,921 ", 27.7 , 1.1 ," 50,960 "," 3,387 ", 9.1 , 0.6 ," 137,924 "," 5,863 ", 24.5 , 0.9 ," 71,197 "," 4,448 ", 12.7 , 0.8 ," 525,454 "," 11,621 ", 93.4 , 0.7 ," 209,121 "," 7,710 ", 37.2 , 1.2 ,
18,AR,Arkansas,1," 548,710 "," 3,198 "," 24,944 "," 2,456 ", 4.5 , 0.4 ," 53,594 "," 3,380 ", 9.8 , 0.6 ," 208,663 "," 6,721 ", 38.0 , 1.2 ," 128,267 "," 5,179 ", 23.4 , 0.9 ," 44,423 "," 3,099 ", 8.1 , 0.6 ," 60,603 "," 3,739 ", 11.0 , 0.7 ," 28,216 "," 2,302 ", 5.1 , 0.4 ," 470,172 "," 4,824 ", 85.7 , 0.8 ," 88,819 "," 4,346 ", 16.2 , 0.8 ,
19,AR,Arkansas,2," 570,220 "," 3,398 "," 14,879 "," 2,075 ", 2.6 , 0.4 ," 40,792 "," 3,657 ", 7.2 , 0.6 ," 172,669 "," 6,170 ", 30.3 , 1.1 ," 140,151 "," 6,369 ", 24.6 , 1.1 ," 44,106 "," 4,453 ", 7.7 , 0.8 ," 97,692 "," 5,653 ", 17.1 , 1.0 ," 59,931 "," 4,114 ", 10.5 , 0.7 ," 514,549 "," 4,449 ", 90.2 , 0.7 ," 157,623 "," 6,739 ", 27.6 , 1.2 ,
20,AR,Arkansas,3," 573,113 "," 5,357 "," 18,243 "," 2,593 ", 3.2 , 0.5 ," 38,548 "," 3,445 ", 6.7 , 0.6 ," 183,043 "," 7,062 ", 31.9 , 1.2 ," 147,350 "," 6,195 ", 25.7 , 1.0 ," 37,748 "," 3,411 ", 6.6 , 0.6 ," 94,386 "," 5,477 ", 16.5 , 0.9 ," 53,795 "," 4,188 ", 9.4 , 0.7 ," 516,322 "," 6,923 ", 90.1 , 0.9 ," 148,181 "," 7,041 ", 25.9 , 1.2 ,
21,AR,Arkansas,4," 532,069 "," 4,667 "," 16,826 "," 1,816 ", 3.2 , 0.3 ," 50,608 "," 4,117 ", 9.5 , 0.8 ," 206,160 "," 5,799 ", 38.7 , 1.0 ," 133,473 "," 6,017 ", 25.1 , 1.2 ," 41,122 "," 3,305 ", 7.7 , 0.6 ," 56,921 "," 3,902 ", 10.7 , 0.7 ," 26,959 "," 2,697 ", 5.1 , 0.5 ," 464,635 "," 5,204 ", 87.3 , 0.8 ," 83,880 "," 4,283 ", 15.8 , 0.8 ,
22,CA,California,1," 553,702 "," 4,675 "," 10,300 "," 1,697 ", 1.9 , 0.3 ," 36,521 "," 3,026 ", 6.6 , 0.6 ," 139,909 "," 6,331 ", 25.3 , 1.1 ," 179,540 "," 6,253 ", 32.4 , 1.1 ," 60,188 "," 3,984 ", 10.9 , 0.7 ," 86,500 "," 4,734 ", 15.6 , 0.8 ," 40,744 "," 2,646 ", 7.4 , 0.5 ," 506,881 "," 6,150 ", 91.5 , 0.6 ," 127,244 "," 5,168 ", 23.0 , 0.9 ,
23,CA,California,2," 534,951 "," 6,691 "," 10,337 "," 2,018 ", 1.9 , 0.4 ," 25,985 "," 2,778 ", 4.9 , 0.5 ," 99,851 "," 5,519 ", 18.7 , 1.0 ," 132,042 "," 5,993 ", 24.7 , 1.1 ," 45,775 "," 3,417 ", 8.6 , 0.6 ," 132,589 "," 6,268 ", 24.8 , 1.1 ," 88,372 "," 4,676 ", 16.5 , 0.9 ," 498,629 "," 6,842 ", 93.2 , 0.6 ," 220,961 "," 6,876 ", 41.3 , 1.1 ,
24,CA,California,3," 504,299 "," 7,222 "," 18,937 "," 2,116 ", 3.8 , 0.4 ," 36,020 "," 3,122 ", 7.1 , 0.6 ," 125,825 "," 5,776 ", 25.0 , 1.1 ," 155,145 "," 6,125 ", 30.8 , 1.2 ," 46,482 "," 3,791 ", 9.2 , 0.7 ," 73,831 "," 3,943 ", 14.6 , 0.7 ," 48,059 "," 3,055 ", 9.5 , 0.6 ," 449,342 "," 7,380 ", 89.1 , 0.7 ," 121,890 "," 5,183 ", 24.2 , 1.0 ,
25,CA,California,4," 573,118 "," 5,649 "," 7,430 "," 1,351 ", 1.3 , 0.2 ," 27,012 "," 3,409 ", 4.7 , 0.6 ," 125,409 "," 4,938 ", 21.9 , 0.8 ," 163,654 "," 5,894 ", 28.6 , 1.0 ," 61,487 "," 4,366 ", 10.7 , 0.7 ," 128,333 "," 5,670 ", 22.4 , 1.0 ," 59,793 "," 3,662 ", 10.4 , 0.6 ," 538,676 "," 6,889 ", 94.0 , 0.7 ," 188,126 "," 6,446 ", 32.8 , 1.1 ,
26,CA,California,5," 508,369 "," 9,829 "," 15,874 "," 2,339 ", 3.1 , 0.4 ," 23,135 "," 2,969 ", 4.6 , 0.6 ," 106,375 "," 5,394 ", 20.9 , 1.0 ," 143,612 "," 6,764 ", 28.2 , 1.2 ," 57,465 "," 4,187 ", 11.3 , 0.8 ," 107,991 "," 5,391 ", 21.2 , 1.0 ," 53,917 "," 3,686 ", 10.6 , 0.7 ," 469,360 "," 9,738 ", 92.3 , 0.8 ," 161,908 "," 6,309 ", 31.8 , 1.1 ,
27,CA,California,6," 506,434 "," 10,206 "," 23,007 "," 2,840 ", 4.5 , 0.5 ," 31,946 "," 3,460 ", 6.3 , 0.7 ," 120,347 "," 6,677 ", 23.8 , 1.1 ," 135,756 "," 6,552 ", 26.8 , 1.2 ," 46,478 "," 3,656 ", 9.2 , 0.7 ," 100,008 "," 5,556 ", 19.7 , 1.0 ," 48,892 "," 2,707 ", 9.7 , 0.5 ," 451,481 "," 10,383 ", 89.1 , 0.8 ," 148,900 "," 6,140 ", 29.4 , 1.1 ,
28,CA,California,7," 537,436 "," 8,063 "," 15,617 "," 2,241 ", 2.9 , 0.4 ," 26,001 "," 3,269 ", 4.8 , 0.6 ," 110,306 "," 4,863 ", 20.5 , 0.9 ," 154,666 "," 6,368 ", 28.8 , 1.1 ," 58,465 "," 3,487 ", 10.9 , 0.6 ," 116,934 "," 6,260 ", 21.8 , 1.1 ," 55,447 "," 4,095 ", 10.3 , 0.8 ," 495,818 "," 7,602 ", 92.3 , 0.7 ," 172,381 "," 6,779 ", 32.1 , 1.1 ,
29,CA,California,8," 477,512 "," 10,385 "," 16,654 "," 2,671 ", 3.5 , 0.5 ," 45,292 "," 4,407 ", 9.5 , 0.9 ," 154,981 "," 7,325 ", 32.5 , 1.3 ," 139,316 "," 6,424 ", 29.2 , 1.2 ," 44,583 "," 4,305 ", 9.3 , 0.9 ," 48,542 "," 3,747 ", 10.2 , 0.8 ," 28,144 "," 3,014 ", 5.9 , 0.6 ," 415,566 "," 10,304 ", 87.0 , 1.1 ," 76,686 "," 4,494 ", 16.1 , 0.9 ,
30,CA,California,9," 482,967 "," 8,819 "," 22,179 "," 2,618 ", 4.6 , 0.5 ," 38,221 "," 3,322 ", 7.9 , 0.7 ," 147,403 "," 6,681 ", 30.5 , 1.2 ," 126,601 "," 5,216 ", 26.2 , 1.1 ," 51,814 "," 3,832 ", 10.7 , 0.8 ," 68,040 "," 5,218 ", 14.1 , 1.0 ," 28,709 "," 2,756 ", 5.9 , 0.6 ," 422,567 "," 8,816 ", 87.5 , 0.8 ," 96,749 "," 5,852 ", 20.0 , 1.1 ,
31,CA,California,10," 493,409 "," 7,043 "," 25,293 "," 2,658 ", 5.1 , 0.5 ," 43,288 "," 3,373 ", 8.8 , 0.7 ," 154,120 "," 7,024 ", 31.2 , 1.3 ," 145,033 "," 6,548 ", 29.4 , 1.3 ," 42,682 "," 3,585 ", 8.7 , 0.7 ," 59,753 "," 4,292 ", 12.1 , 0.9 ," 23,240 "," 2,451 ", 4.7 , 0.5 ," 424,828 "," 7,277 ", 86.1 , 0.9 ," 82,993 "," 5,035 ", 16.8 , 1.0 ,
32,CA,California,11," 508,963 "," 9,040 "," 12,985 "," 2,448 ", 2.6 , 0.5 ," 21,166 "," 2,906 ", 4.2 , 0.6 ," 86,079 "," 4,743 ", 16.9 , 0.9 ," 115,072 "," 5,889 ", 22.6 , 1.1 ," 41,873 "," 3,626 ", 8.2 , 0.7 ," 142,028 "," 6,164 ", 27.9 , 1.2 ," 89,760 "," 4,557 ", 17.6 , 0.9 ," 474,812 "," 8,403 ", 93.3 , 0.7 ," 231,788 "," 7,393 ", 45.5 , 1.4 ,
33,CA,California,12," 571,300 "," 7,542 "," 24,369 "," 2,934 ", 4.3 , 0.5 ," 21,283 "," 2,860 ", 3.7 , 0.5 ," 67,565 "," 4,626 ", 11.8 , 0.8 ," 78,296 "," 5,037 ", 13.7 , 0.8 ," 27,093 "," 2,618 ", 4.7 , 0.5 ," 219,245 "," 7,948 ", 38.4 , 1.2 ," 133,449 "," 6,342 ", 23.4 , 1.2 ," 525,648 "," 8,672 ", 92.0 , 0.7 ," 352,694 "," 7,798 ", 61.7 , 1.2 ,
34,CA,California,13," 536,892 "," 6,882 "," 16,604 "," 1,923 ", 3.1 , 0.4 ," 24,706 "," 2,454 ", 4.6 , 0.5 ," 88,938 "," 5,713 ", 16.6 , 1.0 ," 108,388 "," 5,543 ", 20.2 , 0.9 ," 33,353 "," 2,916 ", 6.2 , 0.5 ," 151,914 "," 4,946 ", 28.3 , 0.9 ," 112,989 "," 5,220 ", 21.0 , 1.0 ," 495,582 "," 7,089 ", 92.3 , 0.6 ," 264,903 "," 6,758 ", 49.3 , 1.3 ,
35,CA,California,14," 511,049 "," 8,400 "," 18,871 "," 3,052 ", 3.7 , 0.6 ," 20,813 "," 2,603 ", 4.1 , 0.5 ," 79,470 "," 5,189 ", 15.6 , 1.0 ," 105,663 "," 6,619 ", 20.7 , 1.2 ," 37,951 "," 2,916 ", 7.4 , 0.6 ," 159,360 "," 6,511 ", 31.2 , 1.1 ," 88,921 "," 4,660 ", 17.4 , 0.9 ," 471,365 "," 8,556 ", 92.2 , 0.7 ," 248,281 "," 7,959 ", 48.6 , 1.4 ,
36,CA,California,15," 503,361 "," 8,070 "," 13,285 "," 1,736 ", 2.6 , 0.3 ," 23,799 "," 2,789 ", 4.7 , 0.5 ," 105,049 "," 5,447 ", 20.9 , 1.0 ," 115,831 "," 5,728 ", 23.0 , 1.0 ," 34,366 "," 2,971 ", 6.8 , 0.6 ," 134,275 "," 5,472 ", 26.7 , 1.0 ," 76,756 "," 4,307 ", 15.2 , 0.9 ," 466,277 "," 8,199 ", 92.6 , 0.6 ," 211,031 "," 6,211 ", 41.9 , 1.2 ,
37,CA,California,16," 423,147 "," 10,984 "," 33,543 "," 3,620 ", 7.9 , 0.8 ," 50,462 "," 4,115 ", 11.9 , 0.9 ," 124,002 "," 7,260 ", 29.3 , 1.6 ," 120,993 "," 6,640 ", 28.6 , 1.4 ," 32,787 "," 3,013 ", 7.7 , 0.7 ," 43,302 "," 3,830 ", 10.2 , 0.9 ," 18,058 "," 1,967 ", 4.3 , 0.5 ," 339,142 "," 8,868 ", 80.1 , 1.1 ," 61,360 "," 4,222 ", 14.5 , 1.0 ,
38,CA,California,17," 438,374 "," 13,412 "," 13,228 "," 1,948 ", 3.0 , 0.4 ," 19,579 "," 3,123 ", 4.5 , 0.7 ," 69,782 "," 6,291 ", 15.9 , 1.2 ," 81,191 "," 5,362 ", 18.5 , 1.0 ," 33,473 "," 3,583 ", 7.6 , 0.7 ," 128,406 "," 6,402 ", 29.3 , 1.5 ," 92,715 "," 5,091 ", 21.1 , 1.2 ," 405,567 "," 12,414 ", 92.5 , 0.8 ," 221,121 "," 7,200 ", 50.4 , 1.8 ,
39,CA,California,18," 491,580 "," 9,611 "," 6,902 "," 1,733 ", 1.4 , 0.3 ," 12,128 "," 1,976 ", 2.5 , 0.4 ," 57,910 "," 4,994 ", 11.8 , 1.0 ," 84,970 "," 5,199 ", 17.3 , 1.0 ," 28,246 "," 2,606 ", 5.7 , 0.5 ," 158,493 "," 6,681 ", 32.2 , 1.3 ," 142,931 "," 5,510 ", 29.1 , 1.1 ," 472,550 "," 8,977 ", 96.1 , 0.5 ," 301,424 "," 8,271 ", 61.3 , 1.5 ,
40,CA,California,19," 482,363 "," 9,857 "," 28,909 "," 2,802 ", 6.0 , 0.6 ," 31,052 "," 3,049 ", 6.4 , 0.6 ," 89,585 "," 5,394 ", 18.6 , 1.0 ," 109,884 "," 5,391 ", 22.8 , 1.1 ," 43,770 "," 3,489 ", 9.1 , 0.7 ," 119,763 "," 5,863 ", 24.8 , 1.1 ," 59,400 "," 3,775 ", 12.3 , 0.8 ," 422,402 "," 9,489 ", 87.6 , 0.9 ," 179,163 "," 6,867 ", 37.1 , 1.2 ,
41,CA,California,20," 434,889 "," 8,953 "," 19,397 "," 2,540 ", 4.5 , 0.6 ," 26,214 "," 3,201 ", 6.0 , 0.7 ," 91,612 "," 5,339 ", 21.1 , 1.1 ," 123,963 "," 6,425 ", 28.5 , 1.3 ," 41,687 "," 2,714 ", 9.6 , 0.6 ," 79,665 "," 4,472 ", 18.3 , 1.0 ," 52,351 "," 3,932 ", 12.0 , 0.9 ," 389,278 "," 8,560 ", 89.5 , 0.9 ," 132,016 "," 6,286 ", 30.4 , 1.4 ,
42,CA,California,21," 354,669 "," 11,267 "," 30,382 "," 3,155 ", 8.6 , 0.8 ," 49,482 "," 4,397 ", 14.0 , 1.1 ," 114,452 "," 5,915 ", 32.3 , 1.2 ," 96,588 "," 5,750 ", 27.2 , 1.5 ," 26,041 "," 2,550 ", 7.3 , 0.7 ," 27,414 "," 2,801 ", 7.7 , 0.8 ," 10,310 "," 1,934 ", 2.9 , 0.5 ," 274,805 "," 9,317 ", 77.5 , 1.4 ," 37,724 "," 3,402 ", 10.6 , 0.9 ,
43,CA,California,22," 483,064 "," 10,845 "," 20,958 "," 2,472 ", 4.3 , 0.5 ," 33,175 "," 3,692 ", 6.9 , 0.8 ," 113,960 "," 5,931 ", 23.6 , 1.1 ," 138,342 "," 7,117 ", 28.6 , 1.3 ," 53,000 "," 4,607 ", 11.0 , 0.9 ," 80,429 "," 4,707 ", 16.6 , 0.9 ," 43,200 "," 3,735 ", 8.9 , 0.8 ," 428,931 "," 10,521 ", 88.8 , 0.9 ," 123,629 "," 6,358 ", 25.6 , 1.2 ,
44,CA,California,23," 490,446 "," 10,566 "," 19,789 "," 2,966 ", 4.0 , 0.6 ," 51,116 "," 4,945 ", 10.4 , 1.0 ," 136,106 "," 6,805 ", 27.8 , 1.2 ," 144,489 "," 6,778 ", 29.5 , 1.2 ," 45,193 "," 4,465 ", 9.2 , 0.9 ," 59,122 "," 3,821 ", 12.1 , 0.8 ," 34,631 "," 3,128 ", 7.1 , 0.6 ," 419,541 "," 9,473 ", 85.5 , 1.0 ," 93,753 "," 4,809 ", 19.1 , 1.0 ,
45,CA,California,24," 508,333 "," 5,576 "," 12,493 "," 1,763 ", 2.5 , 0.3 ," 22,428 "," 2,626 ", 4.4 , 0.5 ," 100,200 "," 6,397 ", 19.7 , 1.2 ," 157,352 "," 5,754 ", 31.0 , 1.1 ," 46,880 "," 3,743 ", 9.2 , 0.7 ," 106,787 "," 6,206 ", 21.0 , 1.2 ," 62,193 "," 4,250 ", 12.2 , 0.9 ," 473,412 "," 6,190 ", 93.1 , 0.6 ," 168,980 "," 6,609 ", 33.2 , 1.3 ,
46,CA,California,25," 482,964 "," 10,876 "," 19,148 "," 2,664 ", 4.0 , 0.5 ," 40,232 "," 4,098 ", 8.3 , 0.8 ," 113,657 "," 6,954 ", 23.5 , 1.3 ," 128,561 "," 6,295 ", 26.6 , 1.2 ," 49,777 "," 3,978 ", 10.3 , 0.8 ," 89,036 "," 4,928 ", 18.4 , 1.0 ," 42,553 "," 3,672 ", 8.8 , 0.7 ," 423,584 "," 9,942 ", 87.7 , 1.0 ," 131,589 "," 6,491 ", 27.2 , 1.3 ,
47,CA,California,26," 480,928 "," 6,034 "," 20,235 "," 2,425 ", 4.2 , 0.5 ," 24,094 "," 2,682 ", 5.0 , 0.6 ," 101,186 "," 5,011 ", 21.0 , 1.0 ," 130,031 "," 5,290 ", 27.0 , 1.0 ," 49,476 "," 4,236 ", 10.3 , 0.9 ," 97,939 "," 3,976 ", 20.4 , 0.8 ," 57,967 "," 3,481 ", 12.1 , 0.7 ," 436,599 "," 5,988 ", 90.8 , 0.6 ," 155,906 "," 5,122 ", 32.4 , 1.1 ,
